id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,cat_id
NROU,2020-12-05,2020-12-05,Natural Rate of Unemployment (Long-Term),1949-01-01,2030-10-01,Quarterly,Q,Percent,%,Not Seasonally Adjusted,NSA,2020-08-03 14:58:05-05,74,74,"The natural rate of unemployment (NAIRU) is the rate of unemployment arising from all sources except fluctuations in aggregate demand. Estimates of potential GDP are based on the long-term natural rate. (CBO did not make explicit adjustments to the short-term natural rate for structural factors before the recent downturn.) The short-term natural rate incorporates structural factors that are temporarily boosting the natural rate beginning in 2008. The short-term natural rate is used to gauge the amount of current and projected slack in labor markets, which is a key input into CBO's projections of inflation.","10-Population, Employment, & Labor Markets"
NROUST,2020-12-05,2020-12-05,Natural Rate of Unemployment (Short-Term),1949-01-01,2030-10-01,Quarterly,Q,Percent,%,Not Seasonally Adjusted,NSA,2020-08-03 14:58:06-05,63,63,"The natural rate of unemployment (NAIRU) is the rate of unemployment arising from all sources except fluctuations in aggregate demand. Estimates of potential GDP are based on the long-term natural rate. (CBO did not make explicit adjustments to the short-term natural rate for structural factors before the recent downturn.) The short-term natural rate incorporates structural factors that are temporarily boosting the natural rate beginning in 2008. The short-term natural rate is used to gauge the amount of current and projected slack in labor markets, which is a key input into CBO's projections of inflation.","10-Population, Employment, & Labor Markets"
NGMPUSMP,2020-12-05,2020-12-05,Total Gross Domestic Product for United States Metropolitan Portion,2001-01-01,2018-01-01,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2019-12-12 14:51:04-06,22,22,"The All industry total includes all Private industries and Government.

Consists of all counties in a state that are parts of metropolitan statistical areas.

For more information about this release go to http://www.bea.gov/newsreleases/regional/gdp_metro/gdp_metro_newsrelease.htm.",32992-National Accounts
PCRGMPUSMP,2020-12-05,2020-12-05,Total Per Capita Real GDP United States Metropolitan Portion (DISCONTINUED),2001-01-01,2017-01-01,Annual,A,Chained 2009 Dollars,Chn. 2009 $,Not Seasonally Adjusted,NSA,2018-09-18 08:31:02-05,14,14,"The All industry total includes all Private industries and Government.

Consists of all counties in a state that are parts of metropolitan statistical areas.

Gross Domestic Product of a given area divided by the resident population of the area.

For more information about this release go to http://www.bea.gov/newsreleases/regional/gdp_metro/gdp_metro_newsrelease.htm.",32992-National Accounts
QGMPUSMP,2020-12-05,2020-12-05,Total Quantity Indexes for Real GDP for United States Metropolitan Portion,2001-01-01,2018-01-01,Annual,A,Index 2009=100,Index 2009=100,Not Seasonally Adjusted,NSA,2020-01-31 11:51:01-06,8,8,"The All industry total includes all Private industries and Government.

Consists of all counties in a state that are parts of metropolitan statistical areas.

For more information about this release go to http://www.bea.gov/newsreleases/regional/gdp_metro/gdp_metro_newsrelease.htm.",32992-National Accounts
RGMPUSMP,2020-12-05,2020-12-05,Total Real Gross Domestic Product for United States Metropolitan Portion,2001-01-01,2018-01-01,Annual,A,Millions of Chained 2012 Dollars,Mil. of Chn. 2012 $,Not Seasonally Adjusted,NSA,2019-12-12 14:51:04-06,15,15,"The All industry total includes all Private industries and Government.

Consists of all counties in a state that are parts of metropolitan statistical areas.

For more information about this release go to http://www.bea.gov/newsreleases/regional/gdp_metro/gdp_metro_newsrelease.htm.",32992-National Accounts
BF4QNSAAK,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Alaska,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAAL,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Alabama,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAAR,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Arkansas,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAAZ,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Arizona,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSACA,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for California,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSACO,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Colorado,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSACT,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Connecticut,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSADC,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for District of Columbia,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSADE,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Delaware,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAFL,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Florida,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:04-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAGA,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Georgia,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAHI,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Hawaii,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAIA,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Iowa,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,0,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAID,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Idaho,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,0,0,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAIL,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Illinois,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAIN,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Indiana,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2020-10-14 11:03:14-05,0,0,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAKS,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Kansas,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAKY,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Kentucky,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:46-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSALA,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Louisiana,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAMA,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Massachusetts,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAMD,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Maryland,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAME,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Maine,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,3,3,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAMI,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Michigan,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAMN,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Minnesota,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:04-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAMO,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Missouri,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAMS,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Mississippi,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAMT,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Montana,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:14:29-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSANC,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for North Carolina,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2020-10-14 11:03:14-05,0,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSAND,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for North Dakota,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSANE,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Nebraska,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSANH,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for New Hampshire,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSANJ,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for New Jersey,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSANM,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for New Mexico,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
BF4QNSANV,2020-12-05,2020-12-05,Business Formations Within 4 Quarters for Nevada,2004-07-01,2015-10-01,Quarterly,Q,Number,Number,Not Seasonally Adjusted,NSA,2019-04-24 11:15:45-05,1,1,"This series provide the number of employer businesses that originate from Business Applications (BA) within four quarters from the quarter of application. By definition, the end-point of this series is determined by the most recent quarter for which the administrative data is available on payroll.",1-Production & Business Activity
