Gen1,Gen2,Gen3
00001-Production & Business Activity,00003-Industrial Production & Capacity Utilization,33938-Automotive Production Seasonal Factor
00001-Production & Business Activity,00097-Housing,32300-Housing Units Authorized by Building Permits
00001-Production & Business Activity,00097-Housing,"32301-Housing Units Authorized, But Not Yet Started"
00001-Production & Business Activity,00097-Housing,32302-Housing Starts
00001-Production & Business Activity,00097-Housing,32303-Housing Units Under Construction
00001-Production & Business Activity,00097-Housing,32304-Housing Units Completed
00001-Production & Business Activity,00097-Housing,32426-New Residential Sales
00001-Production & Business Activity,00097-Housing,33949-Manufactured Housing
00001-Production & Business Activity,32429-Manufacturing,32432-Inventories
00001-Production & Business Activity,32429-Manufacturing,32431-New Orders
00001-Production & Business Activity,32429-Manufacturing,32433-Inventory to Shipments
00001-Production & Business Activity,32429-Manufacturing,32435-Unfilled Orders
00001-Production & Business Activity,32429-Manufacturing,32434-Unfilled Orders to Shipments
00001-Production & Business Activity,32429-Manufacturing,32430-Shipments
"00010-Population, Employment, & Labor Markets",00002-Productivity & Costs,32349-Manufacturing
"00010-Population, Employment, & Labor Markets",00002-Productivity & Costs,32350-Business
"00010-Population, Employment, & Labor Markets",00002-Productivity & Costs,32351-Nonfarm Business
"00010-Population, Employment, & Labor Markets",00002-Productivity & Costs,32354-Nonfinancial Corporations
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32305-Total Nonfarm
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32306-Total Private
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32307-Goods-Producing
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32326-Service-Providing
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32308-Private Service-Providing
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32309-Mining and Logging
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32310-Construction
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32311-Manufacturing
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32312-Durable Goods
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32313-Nondurable Goods
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),"32314-Trade, Transportation, and Utilities"
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32315-Wholesale Trade
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32316-Retail Trade
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32317-Transportation and Warehousing
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32318-Utilities
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32319-Information
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32320-Financial Activities
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32321-Professional and Business Services
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32322-Education and Health Services
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32323-Leisure and Hospitality
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32324-Other Services
"00010-Population, Employment, & Labor Markets",00011-Current Employment Statistics (Establishment Survey),32325-Government
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32442-Civilian Labor Force
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32443-Civilian Labor Force Participation Rate
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32444-Employment
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32445-Employment Population Ratio
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32446-Unemployment Level
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32447-Unemployment Rate
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32448-Not in Labor Force
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32449-Labor Force Participation Rate
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32450-Multiple Jobholders
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32451-Duration of Unemployment
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32452-Losers and Leavers
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),33501-Earnings
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),32453-Entrants and Reentrants
"00010-Population, Employment, & Labor Markets",00012-Current Population Survey (Household Survey),33502-Labor Force Status Flows
"00010-Population, Employment, & Labor Markets",00104-Population,33735-Poverty Measures
"00010-Population, Employment, & Labor Markets",00104-Population,33514-Supplemental Nutrition Assistance Program
"00010-Population, Employment, & Labor Markets",32241-Job Openings and Labor Turnover (JOLTS),32243-Job Openings (Levels and Rates)
"00010-Population, Employment, & Labor Markets",32241-Job Openings and Labor Turnover (JOLTS),32245-Hires (Levels and Rates)
"00010-Population, Employment, & Labor Markets",32241-Job Openings and Labor Turnover (JOLTS),32246-Total Separations (Levels and Rates)
"00010-Population, Employment, & Labor Markets",32241-Job Openings and Labor Turnover (JOLTS),32247-Quits (Levels and Rates)
"00010-Population, Employment, & Labor Markets",32241-Job Openings and Labor Turnover (JOLTS),32248-Layoffs and Discharges (Levels and Rates)
"00010-Population, Employment, & Labor Markets",32241-Job Openings and Labor Turnover (JOLTS),32249-Other Separations (Levels and Rates)
03008-U.S. Regional Data,27281-States,27282-Alabama
03008-U.S. Regional Data,27281-States,27283-Alaska
03008-U.S. Regional Data,27281-States,27284-Arizona
03008-U.S. Regional Data,27281-States,00149-Arkansas
03008-U.S. Regional Data,27281-States,27286-California
03008-U.S. Regional Data,27281-States,27287-Colorado
03008-U.S. Regional Data,27281-States,27288-Connecticut
03008-U.S. Regional Data,27281-States,27289-Delaware
03008-U.S. Regional Data,27281-States,27290-District of Columbia
03008-U.S. Regional Data,27281-States,27291-Florida
03008-U.S. Regional Data,27281-States,27292-Georgia
03008-U.S. Regional Data,27281-States,27293-Hawaii
03008-U.S. Regional Data,27281-States,27294-Idaho
03008-U.S. Regional Data,27281-States,00150-Illinois
03008-U.S. Regional Data,27281-States,00151-Indiana
03008-U.S. Regional Data,27281-States,27297-Iowa
03008-U.S. Regional Data,27281-States,27298-Kansas
03008-U.S. Regional Data,27281-States,00152-Kentucky
03008-U.S. Regional Data,27281-States,27300-Louisiana
03008-U.S. Regional Data,27281-States,27301-Maine
03008-U.S. Regional Data,27281-States,27302-Maryland
03008-U.S. Regional Data,27281-States,27303-Massachusetts
03008-U.S. Regional Data,27281-States,27304-Michigan
03008-U.S. Regional Data,27281-States,27305-Minnesota
03008-U.S. Regional Data,27281-States,00153-Mississippi
03008-U.S. Regional Data,27281-States,00154-Missouri
03008-U.S. Regional Data,27281-States,27308-Montana
03008-U.S. Regional Data,27281-States,27309-Nebraska
03008-U.S. Regional Data,27281-States,27310-Nevada
03008-U.S. Regional Data,27281-States,27311-New Hampshire
03008-U.S. Regional Data,27281-States,27312-New Jersey
03008-U.S. Regional Data,27281-States,27313-New Mexico
03008-U.S. Regional Data,27281-States,27314-New York
03008-U.S. Regional Data,27281-States,27315-North Carolina
03008-U.S. Regional Data,27281-States,27316-North Dakota
03008-U.S. Regional Data,27281-States,27317-Ohio
03008-U.S. Regional Data,27281-States,27318-Oklahoma
03008-U.S. Regional Data,27281-States,27319-Oregon
03008-U.S. Regional Data,27281-States,27320-Pennsylvania
03008-U.S. Regional Data,27281-States,33504-Puerto Rico
03008-U.S. Regional Data,27281-States,27322-Rhode Island
03008-U.S. Regional Data,27281-States,27323-South Carolina
03008-U.S. Regional Data,27281-States,27324-South Dakota
03008-U.S. Regional Data,27281-States,00193-Tennessee
03008-U.S. Regional Data,27281-States,27326-Texas
03008-U.S. Regional Data,27281-States,27328-Utah
03008-U.S. Regional Data,27281-States,27329-Vermont
