Gen1_id,Gen2_id,Gen3_id,Gen4_id,Gen4,Gen3,Gen2,Gen1,id_0_parent
1,32429,32431,NA,NA,New Orders,Manufacturing,Production & Business Activity,0
1,32429,32434,NA,NA,Unfilled Orders to Shipments,Manufacturing,Production & Business Activity,0
1,97,32304,NA,NA,Housing Units Completed,Housing,Production & Business Activity,0
1,33490,NA,NA,NA,NA,Finance Companies,Production & Business Activity,0
1,32429,32435,NA,NA,Unfilled Orders,Manufacturing,Production & Business Activity,0
1,3,33938,NA,NA,Automotive Production Seasonal Factor,Industrial Production & Capacity Utilization,Production & Business Activity,0
1,33203,NA,NA,NA,NA,Wholesale Trade,Production & Business Activity,0
1,97,32302,NA,NA,Housing Starts,Housing,Production & Business Activity,0
1,33492,NA,NA,NA,NA,Technology,Production & Business Activity,0
1,33441,NA,NA,NA,NA,Services,Production & Business Activity,0
1,97,33949,NA,NA,Manufactured Housing,Housing,Production & Business Activity,0
1,32436,NA,NA,NA,NA,Construction,Production & Business Activity,0
1,32429,32432,NA,NA,Inventories,Manufacturing,Production & Business Activity,0
1,32216,NA,NA,NA,NA,Health Insurance,Production & Business Activity,0
1,32262,NA,NA,NA,NA,Business Cycle Expansions & Contractions,Production & Business Activity,0
1,97,32426,NA,NA,New Residential Sales,Housing,Production & Business Activity,0
1,32429,32433,NA,NA,Inventory to Shipments,Manufacturing,Production & Business Activity,0
1,97,32301,NA,NA,"Housing Units Authorized, But Not Yet Started",Housing,Production & Business Activity,0
1,6,NA,NA,NA,NA,Retail Trade,Production & Business Activity,0
1,33940,NA,NA,NA,NA,Emissions,Production & Business Activity,0
1,33202,32993,NA,NA,Motor Vehicles,Transportation,Production & Business Activity,0
1,97,32303,NA,NA,Housing Units Under Construction,Housing,Production & Business Activity,0
1,33936,NA,NA,NA,NA,Business Surveys,Production & Business Activity,0
1,97,32300,NA,NA,Housing Units Authorized by Building Permits,Housing,Production & Business Activity,0
1,32429,32430,NA,NA,Shipments,Manufacturing,Production & Business Activity,0
10,2,32350,NA,NA,Business,Productivity & Costs,"Population, Employment, & Labor Markets",0
